scenario,run_index,images_count,target_count,yolo_tool_latency_ms,full_agent_latency_ms,cpu_mean_sampled_percent,cpu_peak_sampled_percent,npu_mean_load_field_percent,npu_peak_load_field_percent,npu_peak_frequency_hz,completion_status
single,1,1,7,870.894,34504.0,20.775,71.084,100.0,100.0,1000000000,completed
single,2,1,7,862.984,30268.0,20.829,70.552,100.0,100.0,1000000000,completed
single,3,1,7,873.302,30537.0,21.046,77.301,100.0,100.0,1000000000,completed
single,4,1,7,860.829,28231.0,20.484,70.44,100.0,100.0,1000000000,completed
single,5,1,7,867.73,31166.0,20.508,71.338,100.0,100.0,1000000000,completed
single,6,1,7,877.375,29620.0,20.956,70.513,100.0,100.0,1000000000,completed
single,7,1,7,876.657,28755.0,21.182,69.811,100.0,100.0,1000000000,completed
single,8,1,7,868.433,30268.0,20.473,67.296,100.0,100.0,1000000000,completed
single,9,1,7,872.559,28230.0,21.704,84.868,100.0,100.0,1000000000,completed
single,10,1,7,854.697,29463.0,20.652,69.811,100.0,100.0,1000000000,completed
single,11,1,7,857.244,28366.0,20.202,74.691,100.0,100.0,1000000000,completed
single,12,1,7,836.722,29251.0,20.771,79.355,100.0,100.0,1000000000,completed
single,13,1,7,858.08,27958.0,20.856,81.25,100.0,100.0,1000000000,completed
single,14,1,7,860.567,28809.0,20.655,68.944,100.0,100.0,1000000000,completed
single,15,1,7,841.434,28400.0,20.497,83.133,100.0,100.0,1000000000,completed
single,16,1,7,869.445,26919.0,20.741,75.301,100.0,100.0,1000000000,completed
single,17,1,7,863.846,28286.0,20.555,67.296,100.0,100.0,1000000000,completed
single,18,1,7,844.912,28090.0,20.896,70.988,100.0,100.0,1000000000,completed
single,19,1,7,845.181,30066.0,20.756,82.39,100.0,100.0,1000000000,completed
single,20,1,7,864.824,29866.0,20.676,86.335,100.0,100.0,1000000000,completed
batch_serial_2,1,2,18,1518.405,68263.0,20.673,87.742,100.0,100.0,1000000000,completed
batch_serial_2,2,2,18,1535.151,65197.0,20.888,80.921,100.0,100.0,1000000000,completed
batch_serial_2,3,2,18,1486.148,61058.0,20.483,81.761,100.0,100.0,1000000000,completed
batch_serial_2,4,2,18,1498.338,61804.0,20.511,81.818,100.0,100.0,1000000000,completed
batch_serial_2,5,2,18,1490.707,61209.0,20.716,85.276,100.0,100.0,1000000000,completed
batch_serial_2,6,2,18,1515.833,62153.0,20.36,70.968,100.0,100.0,1000000000,completed
batch_serial_2,7,2,18,1517.94,62293.0,20.346,83.333,100.0,100.0,1000000000,completed
batch_serial_2,8,2,18,1472.552,64458.0,20.37,81.25,100.0,100.0,1000000000,completed
batch_serial_2,9,2,18,1509.707,57066.0,20.809,73.78,100.0,100.0,1000000000,completed
batch_serial_2,10,2,18,1532.084,59476.0,20.325,81.437,100.0,100.0,1000000000,completed
batch_serial_2,11,2,18,1499.532,57354.0,20.404,75.46,100.0,100.0,1000000000,completed
batch_serial_2,12,2,18,1493.022,57819.0,20.322,72.956,100.0,100.0,1000000000,completed
batch_serial_2,13,2,18,1527.496,60834.0,20.367,78.846,100.0,100.0,1000000000,completed
batch_serial_2,14,2,18,1513.51,54379.0,20.441,76.282,100.0,100.0,1000000000,completed
batch_serial_2,15,2,18,1495.443,61839.0,20.45,73.418,100.0,100.0,1000000000,completed
batch_serial_2,16,2,18,1545.368,62004.0,20.391,81.988,100.0,100.0,1000000000,completed
batch_serial_2,17,2,18,1527.725,57106.0,20.866,73.054,100.0,100.0,1000000000,completed
batch_serial_2,18,2,18,1513.698,59748.0,20.188,69.753,100.0,100.0,1000000000,completed
batch_serial_2,19,2,18,1514.579,57794.0,20.314,70.909,100.0,100.0,1000000000,completed
batch_serial_2,20,2,18,1511.168,66882.0,20.411,83.75,100.0,100.0,1000000000,completed
