scenario,run_index,images_count,successful_images,failed_images,target_count,full_agent_latency_ms,detector_total_ms,time_to_first_visible_token_ms,post_first_token_interval_ms,sse_tail_ms,cpu_mean_sampled_percent,cpu_peak_sampled_percent,npu_mean_load_field_percent,npu_peak_load_field_percent,npu_peak_frequency_hz,completion_status
single,1,1,1,0,7,29722.0,851.794,19966.0,9577.0,179.0,20.812,70.659,100.0,100.0,1000000000,all_images_successful
single,2,1,1,0,7,30737.0,852.759,15429.0,15136.0,172.0,20.265,69.091,100.0,100.0,1000000000,all_images_successful
single,3,1,1,0,7,30715.0,859.972,16481.0,14042.0,191.0,20.033,69.88,100.0,100.0,1000000000,all_images_successful
single,4,1,1,0,7,28088.0,869.566,15852.0,12058.0,178.0,20.333,74.545,100.0,100.0,1000000000,all_images_successful
single,5,1,1,0,7,29717.0,854.397,15627.0,13910.0,179.0,20.275,69.427,100.0,100.0,1000000000,all_images_successful
single,6,1,1,0,7,30085.0,853.177,15975.0,13931.0,179.0,20.29,73.964,100.0,100.0,1000000000,all_images_successful
single,7,1,1,0,7,30290.0,861.844,16205.0,13906.0,179.0,20.354,70.186,100.0,100.0,1000000000,all_images_successful
single,8,1,1,0,7,31736.0,860.812,15809.0,15748.0,179.0,20.217,71.006,100.0,100.0,1000000000,all_images_successful
single,9,1,1,0,7,31108.0,849.944,16013.0,14916.0,178.0,20.368,67.296,100.0,100.0,1000000000,all_images_successful
single,10,1,1,0,7,26007.0,858.261,16438.0,9390.0,179.0,20.375,69.697,100.0,100.0,1000000000,all_images_successful
single,11,1,1,0,7,32275.0,859.521,16383.0,15711.0,180.0,20.387,81.646,100.0,100.0,1000000000,all_images_successful
single,12,1,1,0,7,30882.0,862.766,15449.0,15253.0,179.0,20.028,69.481,100.0,100.0,1000000000,all_images_successful
single,13,1,1,0,7,30655.0,850.515,15542.0,14922.0,190.0,21.007,75.0,100.0,100.0,1000000000,all_images_successful
single,14,1,1,0,7,28128.0,870.637,16403.0,11546.0,178.0,20.521,76.398,100.0,100.0,1000000000,all_images_successful
single,15,1,1,0,7,28109.0,859.669,16201.0,11739.0,168.0,20.15,69.512,100.0,100.0,1000000000,all_images_successful
single,16,1,1,0,7,29352.0,846.438,15289.0,13864.0,198.0,20.327,68.902,100.0,100.0,1000000000,all_images_successful
single,17,1,1,0,7,29029.0,873.313,16291.0,12556.0,181.0,20.346,81.41,100.0,100.0,1000000000,all_images_successful
single,18,1,1,0,7,30895.0,844.833,16628.0,14076.0,190.0,20.031,67.516,100.0,100.0,1000000000,all_images_successful
single,19,1,1,0,7,26878.0,836.869,15938.0,10739.0,201.0,20.69,84.076,100.0,100.0,1000000000,all_images_successful
single,20,1,1,0,7,29860.0,859.09,15754.0,13916.0,190.0,20.255,79.114,100.0,100.0,1000000000,all_images_successful
batch_serial_2,1,2,2,0,18,62551.0,1502.397,32855.0,29515.0,180.0,20.378,70.323,100.0,100.0,1000000000,all_images_successful
batch_serial_2,2,2,2,0,18,68970.0,1518.766,28837.0,39919.0,213.0,20.159,80.769,100.0,100.0,1000000000,all_images_successful
batch_serial_2,3,2,2,0,18,65675.0,1512.452,29199.0,36299.0,177.0,20.125,71.698,100.0,100.0,1000000000,all_images_successful
batch_serial_2,4,2,2,0,18,64465.0,1507.725,29317.0,34966.0,181.0,20.3,80.892,100.0,100.0,1000000000,all_images_successful
batch_serial_2,5,2,2,0,18,64635.0,1548.536,29593.0,34860.0,181.0,20.16,75.148,100.0,100.0,1000000000,all_images_successful
batch_serial_2,6,2,2,0,18,59181.0,1518.745,28832.0,30167.0,182.0,20.112,83.125,100.0,100.0,1000000000,all_images_successful
batch_serial_2,7,2,2,0,18,57833.0,1487.258,28880.0,28770.0,182.0,20.147,70.779,100.0,100.0,1000000000,all_images_successful
batch_serial_2,8,2,2,0,18,60365.0,1515.418,28050.0,32123.0,192.0,20.209,73.292,100.0,100.0,1000000000,all_images_successful
batch_serial_2,9,2,2,0,18,65322.0,1500.757,29989.0,35151.0,181.0,19.926,79.012,100.0,100.0,1000000000,all_images_successful
batch_serial_2,10,2,2,0,18,60207.0,1501.8,27537.0,32475.0,194.0,20.249,84.906,100.0,100.0,1000000000,all_images_successful
